No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,10943,1.50,90,261,3.91
2,are,26025,3.56,52,263,1.87
3,which,31353,4.29,58,264,1.76
4,that,40088,5.48,56,264,1.35
5,with,29784,4.08,41,264,1.33
6,to,83176,11.38,102,266,1.16
7,the,410877,56.22,387,266,0.78
8,in,99584,13.63,75,266,0.46
9,to,83176,11.38,59,266,0.37
10,of,228248,31.23,153,267,0.29
11,and,98953,13.54,50,267,-0.12
12,of,228248,31.23,104,267,-0.26
13,the,410877,56.22,173,266,-0.38
