No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,many,640,0.11,12,195,4.76
2,these,3300,0.57,35,268,3.94
3,some,1928,0.33,13,264,3.29
4,have,5588,0.96,24,288,2.64
5,which,10971,1.89,36,292,2.25
6,i,8316,1.43,25,290,2.12
7,are,5417,0.93,13,284,1.80
8,or,5534,0.95,13,282,1.77
9,from,9034,1.56,21,301,1.75
10,that,12951,2.23,25,289,1.49
11,this,8386,1.45,12,290,1.05
12,be,11233,1.94,16,296,1.05
13,with,8938,1.54,12,300,0.96
14,to,28752,4.96,33,305,0.73
15,the,121451,20.94,127,314,0.60
16,of,73280,12.63,64,313,0.34
17,in,28989,5.00,21,310,0.07
18,and,32125,5.54,19,314,-0.22
19,to,28752,4.96,16,305,-0.31
20,a,24261,4.18,13,311,-0.36
21,and,32125,5.54,16,314,-0.47
22,the,121451,20.94,55,314,-0.61
23,of,73280,12.63,32,313,-0.66
