No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,7493,1.15,70,254,3.92
2,have,9617,1.48,27,263,2.19
3,which,23091,3.55,52,266,1.87
4,from,16715,2.57,33,268,1.68
5,are,13890,2.14,25,264,1.55
6,that,23159,3.56,41,266,1.52
7,with,18950,2.91,24,268,1.04
8,as,20551,3.16,26,265,1.04
9,to,53079,8.16,67,269,1.04
10,by,23394,3.60,27,270,0.91
11,the,244283,37.58,244,271,0.70
12,to,53079,8.16,46,269,0.49
13,in,63806,9.81,53,270,0.43
14,of,151244,23.26,106,271,0.19
15,and,63614,9.79,35,271,-0.16
16,a,48856,7.52,25,267,-0.27
17,the,244283,37.58,121,271,-0.31
18,in,63806,9.81,28,270,-0.49
19,of,151244,23.26,63,271,-0.56
20,and,63614,9.79,26,271,-0.59
