No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,4689,0.98,61,268,3.97
2,have,6601,1.37,40,284,2.86
3,been,4340,0.90,19,282,2.40
4,from,11544,2.40,46,294,2.26
5,i,10551,2.19,38,289,2.11
6,are,8396,1.75,30,296,2.10
7,which,15517,3.23,51,286,1.98
8,that,16577,3.45,42,287,1.61
9,by,16568,3.45,28,308,1.02
10,as,13045,2.71,18,293,0.73
11,to,37965,7.90,52,307,0.72
12,in,40108,8.34,54,309,0.69
13,with,12657,2.63,17,302,0.69
14,of,96518,20.08,128,309,0.67
15,the,166273,34.59,214,309,0.63
16,by,16568,3.45,17,308,0.30
17,and,44896,9.34,41,308,0.13
18,to,37965,7.90,30,307,-0.07
19,the,166273,34.59,108,309,-0.36
20,a,34592,7.20,19,306,-0.60
21,and,44896,9.34,23,308,-0.70
22,of,96518,20.08,45,309,-0.84
