No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,12056,1.62,99,275,3.93
2,which,32806,4.40,57,276,1.69
3,are,28528,3.83,48,275,1.65
4,that,43146,5.79,69,276,1.57
5,to,91726,12.32,113,277,1.20
6,the,451173,60.58,421,277,0.80
7,to,91726,12.32,72,277,0.55
8,in,111135,14.92,78,277,0.39
9,of,255698,34.33,166,278,0.27
10,and,108394,14.55,53,278,-0.14
11,the,451173,60.58,193,277,-0.33
12,of,255698,34.33,101,278,-0.44
