No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,following,1001,0.18,13,217,4.14
2,these,3275,0.60,36,271,3.90
3,some,1938,0.36,14,265,3.30
4,have,5326,0.98,27,292,2.79
5,i,8467,1.55,30,293,2.27
6,from,8934,1.64,30,305,2.19
7,which,10846,1.99,36,295,2.18
8,are,5526,1.01,16,291,1.98
9,or,5636,1.03,14,284,1.76
10,that,12890,2.37,28,294,1.56
11,be,10936,2.01,18,301,1.16
12,as,9166,1.68,12,300,0.83
13,the,122597,22.51,149,318,0.73
14,to,28961,5.32,34,311,0.68
15,by,12595,2.31,13,315,0.49
16,of,73443,13.49,69,317,0.36
17,in,29524,5.42,24,316,0.15
18,to,28961,5.32,20,311,-0.09
19,and,33531,6.16,23,318,-0.10
20,the,122597,22.51,68,318,-0.41
21,of,73443,13.49,37,317,-0.54
22,and,33531,6.16,15,318,-0.72
