No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,new,872,0.18,12,147,4.06
2,these,2758,0.57,35,240,3.95
3,some,1928,0.40,11,242,2.79
4,have,5335,1.10,26,258,2.57
5,been,3207,0.66,15,253,2.51
6,which,11049,2.27,47,261,2.37
7,from,7378,1.52,19,265,1.65
8,that,11994,2.47,29,258,1.56
9,are,5096,1.05,12,250,1.52
10,i,7764,1.60,17,264,1.41
11,not,4695,0.97,10,251,1.37
12,to,24729,5.08,39,271,0.94
13,with,7720,1.59,11,261,0.79
14,it,11808,2.43,16,260,0.72
15,of,63678,13.09,78,275,0.57
16,as,8177,1.68,10,261,0.57
17,the,98395,20.23,114,277,0.49
18,by,11644,2.39,12,272,0.33
19,in,24862,5.11,24,274,0.23
20,be,11116,2.29,10,262,0.13
21,and,26656,5.48,21,275,-0.06
22,to,24729,5.08,19,271,-0.10
23,and,26656,5.48,20,275,-0.13
24,a,22851,4.70,17,277,-0.14
25,the,98395,20.23,61,277,-0.41
26,of,63678,13.09,35,275,-0.58
27,a,22851,4.70,10,277,-0.91
