No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,following,977,0.17,13,205,4.28
2,these,3250,0.56,34,263,3.93
3,some,1872,0.32,13,260,3.34
4,have,5290,0.91,25,283,2.78
5,i,8356,1.44,27,284,2.23
6,which,10593,1.82,31,286,2.09
7,from,8937,1.53,25,297,2.03
8,or,5543,0.95,14,276,1.88
9,are,5263,0.90,13,281,1.85
10,that,12572,2.16,27,285,1.64
11,this,8051,1.38,12,286,1.12
12,be,10766,1.85,16,293,1.11
13,to,28166,4.84,33,302,0.77
14,the,120452,20.69,130,310,0.65
15,of,71260,12.24,61,309,0.32
16,in,28910,4.96,22,306,0.15
17,and,32368,5.56,20,310,-0.15
18,to,28166,4.84,16,302,-0.27
19,and,32368,5.56,17,310,-0.39
20,the,120452,20.69,55,310,-0.59
21,of,71260,12.24,32,309,-0.61
