No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,505,0.14,21,123,5.28
2,these,6352,1.70,75,229,3.46
3,have,8635,2.31,45,235,2.28
4,all,3882,1.04,19,224,2.19
5,i,11632,3.11,52,245,2.06
6,from,13302,3.56,56,245,1.98
7,been,5084,1.36,20,238,1.88
8,which,19881,5.32,73,245,1.78
9,are,10776,2.88,39,252,1.76
10,with,15074,4.03,39,256,1.27
11,that,20638,5.52,53,240,1.26
12,to,43843,11.73,89,259,0.92
13,with,15074,4.03,30,256,0.89
14,be,17120,4.58,34,253,0.89
15,this,12625,3.38,25,238,0.89
16,in,50819,13.60,97,259,0.83
17,by,18649,4.99,31,260,0.64
18,the,195974,52.44,323,260,0.62
19,it,19115,5.12,31,244,0.60
20,on,13387,3.58,20,259,0.48
21,as,17040,4.56,25,251,0.45
22,by,18649,4.99,27,260,0.44
23,of,113727,30.43,156,260,0.36
24,as,17040,4.56,21,251,0.20
25,and,50535,13.52,58,260,0.10
26,to,43843,11.73,47,259,0.00
27,that,20638,5.52,21,240,-0.07
28,the,195974,52.44,163,260,-0.36
29,a,38758,10.37,27,258,-0.62
30,and,50535,13.52,30,260,-0.85
31,in,50819,13.60,29,259,-0.91
32,of,113727,30.43,59,260,-1.04
33,a,38758,10.37,20,258,-1.05
