No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,418,0.11,18,110,5.39
2,these,5372,1.38,64,193,3.53
3,some,2437,0.63,21,192,3.06
4,i,9649,2.48,48,207,2.27
5,have,7229,1.86,33,201,2.15
6,from,11055,2.85,42,208,1.88
7,which,16129,4.15,58,211,1.80
8,are,8555,2.20,23,214,1.38
9,that,16571,4.27,43,205,1.33
10,with,12758,3.29,32,220,1.28
11,with,12758,3.29,29,220,1.14
12,be,13640,3.51,29,218,1.05
13,to,36060,9.29,69,222,0.89
14,in,42388,10.92,80,221,0.87
15,it,15072,3.88,28,211,0.85
16,this,10376,2.67,17,205,0.67
17,the,160019,41.21,260,222,0.66
18,by,17209,4.43,22,222,0.31
19,as,13863,3.57,17,217,0.25
20,of,93505,24.08,114,222,0.24
21,by,17209,4.43,19,222,0.10
22,and,40584,10.45,43,222,0.04
23,to,36060,9.29,38,222,0.03
24,the,160019,41.21,127,222,-0.38
25,a,30618,7.89,22,221,-0.52
26,in,42388,10.92,28,221,-0.64
27,and,40584,10.45,24,222,-0.80
28,a,30618,7.89,17,221,-0.89
29,of,93505,24.08,48,222,-1.00
