No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5144,1.15,60,205,3.70
2,some,2178,0.49,17,204,3.12
3,i,8405,1.89,36,208,2.25
4,have,6393,1.44,25,211,2.12
5,which,14873,3.34,56,216,2.07
6,are,8690,1.95,24,216,1.62
7,from,11924,2.68,27,214,1.33
8,that,14414,3.24,30,214,1.21
9,as,13108,2.94,24,220,1.03
10,this,9326,2.09,16,213,0.93
11,it,13033,2.93,21,218,0.84
12,to,33656,7.55,54,222,0.84
13,with,12110,2.72,17,220,0.64
14,the,158779,35.64,218,223,0.61
15,in,41523,9.32,55,223,0.56
16,with,12110,2.72,16,220,0.56
17,to,33656,7.55,42,222,0.47
18,on,12095,2.71,15,222,0.47
19,of,94965,21.32,109,223,0.35
20,and,39810,8.94,38,223,0.09
21,a,28466,6.39,27,221,0.08
22,by,17570,3.94,16,222,0.02
23,by,17570,3.94,16,222,0.02
24,and,39810,8.94,27,223,-0.40
25,the,158779,35.64,104,223,-0.46
26,in,41523,9.32,25,223,-0.58
27,of,94965,21.32,53,223,-0.69
28,a,28466,6.39,15,221,-0.77
