Context,Collocate
"Years 1810-1814: light, to which this curious fact must be ascribed,* The intensity",curious
"Years 1810-1814: in the thoracic duct, This fact I ascertained at the Veterinary",ascertained
Years 1810-1814: appear to me that the fact deserved to be ascertained by,ascertained
Years 1810-1814: Besides the new and unexpected fact which was thus brought to,new
"Years 1810-1814: combinations resembles oxygen. This new fact will, I hope, do something",new
"Years 1810-1814: nitrogene. Mr. Kirwan observed the fact that when nitrous gas, and",observed
