No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,499,0.13,22,276,5.38
2,many,1295,0.34,17,276,3.64
3,these,6272,1.66,81,276,3.61
4,such,2298,0.61,17,276,2.81
5,some,2852,0.75,16,276,2.41
6,have,8644,2.28,48,276,2.39
7,all,4075,1.08,20,276,2.22
8,i,12004,3.17,54,276,2.09
9,from,13603,3.59,56,276,1.96
10,been,5151,1.36,21,276,1.95
11,which,19909,5.26,77,276,1.87
12,are,10777,2.85,41,276,1.85
13,we,6157,1.63,17,276,1.39
14,that,21135,5.58,57,276,1.35
15,with,15423,4.07,35,276,1.10
16,to,45646,12.05,90,276,0.90
17,with,15423,4.07,30,276,0.88
18,by,19317,5.10,36,276,0.82
19,in,51670,13.64,90,276,0.72
20,be,18070,4.77,31,276,0.70
21,the,202652,53.51,333,276,0.64
22,it,19713,5.20,31,276,0.57
23,by,19317,5.10,29,276,0.51
24,are,10777,2.85,16,276,0.49
25,of,114984,30.36,169,276,0.48
26,on,13832,3.65,20,276,0.45
27,this,12733,3.36,18,276,0.42
28,or,10758,2.84,15,276,0.40
29,as,17149,4.53,23,276,0.34
30,as,17149,4.53,21,276,0.21
31,and,52035,13.74,58,276,0.08
32,to,45646,12.05,46,276,-0.07
33,that,21135,5.58,20,276,-0.16
34,is,24560,6.48,21,276,-0.30
35,the,202652,53.51,161,276,-0.41
36,and,52035,13.74,32,276,-0.78
37,a,40403,10.67,23,276,-0.89
38,of,114984,30.36,58,276,-1.07
39,in,51670,13.64,25,276,-1.13
40,a,40403,10.67,19,276,-1.17
