No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,22,0.00,8,294,9.02
2,certainty,51,0.01,8,294,7.80
3,curious,134,0.02,9,294,6.58
4,respecting,179,0.03,9,294,6.16
5,stated,195,0.03,8,294,5.87
6,many,644,0.11,12,294,4.73
7,new,636,0.11,10,294,4.49
8,these,2794,0.49,31,294,3.98
9,some,1692,0.30,15,294,3.66
10,which,9897,1.74,39,294,2.49
11,have,5053,0.89,19,294,2.42
12,been,3050,0.53,9,294,2.07
13,or,4586,0.80,13,294,2.01
14,i,7157,1.26,19,294,1.92
15,we,3545,0.62,8,294,1.69
16,that,11397,2.00,24,294,1.59
17,from,7630,1.34,16,294,1.58
18,are,4931,0.86,9,294,1.38
19,not,4388,0.77,8,294,1.38
20,to,24375,4.27,32,294,0.90
21,that,11397,2.00,13,294,0.70
22,be,9791,1.72,10,294,0.54
23,the,104036,18.24,106,294,0.54
24,as,8010,1.40,8,294,0.51
25,by,11163,1.96,11,294,0.49
26,of,62299,10.93,59,294,0.43
27,it,10864,1.91,8,294,0.07
28,and,26591,4.66,19,294,0.03
29,a,21237,3.72,14,294,-0.09
30,in,25147,4.41,16,294,-0.14
31,to,24375,4.27,15,294,-0.19
32,the,104036,18.24,52,294,-0.49
33,of,62299,10.93,31,294,-0.50
34,and,26591,4.66,12,294,-0.64
