No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,23,0.00,11,17,9.44
2,certainty,54,0.01,10,29,8.07
3,curious,125,0.02,10,69,6.86
4,respecting,159,0.03,9,84,6.36
5,new,509,0.09,10,137,4.84
6,many,599,0.10,10,185,4.60
7,following,977,0.17,13,205,4.28
8,these,3250,0.56,34,263,3.93
9,some,1872,0.32,13,260,3.34
10,have,5290,0.91,25,283,2.78
11,i,8356,1.44,27,284,2.23
12,been,3394,0.58,10,281,2.10
13,which,10593,1.82,31,286,2.09
14,may,3152,0.54,9,264,2.06
15,from,8937,1.53,25,297,2.03
16,or,5543,0.95,14,276,1.88
17,are,5263,0.90,13,281,1.85
18,that,12572,2.16,27,285,1.64
19,this,8051,1.38,12,286,1.12
20,be,10766,1.85,16,293,1.11
21,with,8946,1.54,11,297,0.84
22,to,28166,4.84,33,302,0.77
23,the,120452,20.69,130,310,0.65
24,as,8916,1.53,9,291,0.56
25,by,12189,2.09,11,306,0.39
26,of,71260,12.24,61,309,0.32
27,in,28910,4.96,22,306,0.15
28,that,12572,2.16,9,285,0.06
29,and,32368,5.56,20,310,-0.15
30,to,28166,4.84,16,302,-0.27
31,and,32368,5.56,17,310,-0.39
32,a,24009,4.12,11,307,-0.58
33,the,120452,20.69,55,310,-0.59
34,of,71260,12.24,32,309,-0.61
