No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recorded,107,0.03,14,226,6.99
2,respecting,164,0.04,12,226,6.15
3,stated,426,0.11,18,226,5.36
4,connected,494,0.13,14,226,4.78
5,many,1095,0.28,13,226,3.53
6,these,5451,1.40,63,226,3.49
7,observed,1268,0.33,12,226,3.20
8,some,2461,0.63,19,226,2.91
9,i,9683,2.49,41,226,2.04
10,have,7351,1.89,30,226,1.99
11,all,2979,0.77,12,226,1.97
12,from,11140,2.87,43,226,1.91
13,which,16291,4.19,54,226,1.69
14,other,3954,1.02,12,226,1.56
15,that,16670,4.29,45,226,1.39
16,are,8857,2.28,23,226,1.33
17,with,12684,3.27,31,226,1.25
18,with,12684,3.27,29,226,1.15
19,be,13743,3.54,30,226,1.08
20,but,6204,1.60,13,226,1.02
21,to,36391,9.37,69,226,0.88
22,in,42898,11.04,80,226,0.86
23,this,10530,2.71,19,226,0.81
24,are,8857,2.28,15,226,0.72
25,it,15123,3.89,25,226,0.68
26,the,162075,41.73,259,226,0.63
27,as,13931,3.59,22,226,0.62
28,or,8319,2.14,12,226,0.49
29,by,17381,4.47,22,226,0.30
30,of,94257,24.27,110,226,0.18
31,to,36391,9.37,42,226,0.16
32,on,11725,3.02,13,226,0.11
33,by,17381,4.47,19,226,0.09
34,and,41502,10.68,44,226,0.04
35,as,13931,3.59,13,226,-0.14
36,that,16670,4.29,15,226,-0.19
37,the,162075,41.73,134,226,-0.32
38,in,42898,11.04,28,226,-0.66
39,a,31571,8.13,20,226,-0.70
40,and,41502,10.68,26,226,-0.72
41,of,94257,24.27,48,226,-1.02
42,a,31571,8.13,15,226,-1.12
