Context,Word,File,Directory
"7. That the Fact is otherwise, when",the,Unknown,Unknown
"confirm the same Fact is, that Bees;",the,Unknown,Unknown
doubt of the FaCt aboye rehearsed ;,the,Unknown,Unknown
