https://example.com/collocation-analysis
There are 1044202 different words in your collocation database for "facts". (Your query returned 1230 matches in 226 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	certainty	44	0.01	7	27	7.12
2	stated	231	0.07	12	59	5.51
3	prove	197	0.06	10	72	5.47
4	seem	170	0.05	7	69	5.17
5	new	661	0.19	15	129	4.31
6	many	724	0.21	13	157	3.98
7	appear	543	0.15	9	151	3.86
8	preceding	433	0.12	7	100	3.82
9	general	633	0.18	10	127	3.79
10	these	2804	0.80	41	189	3.68
11	number	615	0.18	8	134	3.51
12	me	722	0.21	7	152	3.09
13	been	3599	1.03	28	205	2.77
14	have	5266	1.50	39	205	2.70
15	some	2080	0.59	14	195	2.56
16	other	2488	0.71	12	198	2.08
17	are	4645	1.33	22	203	2.05
18	all	1801	0.51	8	182	1.96
19	which	11291	3.22	49	207	1.93
20	that	12293	3.51	48	208	1.77
21	they	2191	0.63	8	191	1.68
22	from	7420	2.12	25	211	1.56
23	i	7640	2.18	24	208	1.46
24	to	23826	6.80	56	219	1.04
25	may	3073	0.88	7	195	1.00
26	or	4492	1.28	10	208	0.96
27	not	5007	1.43	11	199	0.94
28	by	11335	3.23	22	222	0.77
29	are	4645	1.33	9	203	0.76
30	as	7979	2.28	15	210	0.72
31	the	93504	26.68	171	225	0.68
32	with	8231	2.35	14	210	0.58
33	but	4802	1.37	8	206	0.55
34	this	7347	2.10	12	210	0.52
35	to	23826	6.80	38	219	0.48
36	in	23934	6.83	36	223	0.40
37	with	8231	2.35	12	210	0.35
38	it	12017	3.43	17	213	0.31
39	of	63360	18.08	87	226	0.27
40	have	5266	1.50	7	205	0.22
41	by	11335	3.23	15	222	0.21
42	and	27093	7.73	34	223	0.14
43	as	7979	2.28	10	210	0.13
44	be	10514	3.00	12	214	-0.00
45	a	21080	6.02	20	225	-0.27
46	and	27093	7.73	25	223	-0.31
47	be	10514	3.00	9	214	-0.42
48	the	93504	26.68	75	225	-0.51
49	is	12284	3.51	9	217	-0.64
50	of	63360	18.08	42	226	-0.78
51	that	12293	3.51	8	208	-0.81
52	a	21080	6.02	8	225	-1.59
53	in	23934	6.83	8	223	-1.77
