No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,183,0.04,10,61,6.09
2,many,623,0.13,9,188,4.17
3,new,846,0.17,12,140,4.14
4,these,2709,0.54,35,237,4.01
5,some,1814,0.36,11,238,2.92
6,have,5215,1.05,26,252,2.63
7,been,3019,0.61,15,247,2.63
8,which,10632,2.13,46,255,2.43
9,all,1970,0.40,8,221,2.34
10,from,7381,1.48,18,259,1.60
11,that,11526,2.31,28,252,1.60
12,i,7604,1.53,17,257,1.48
13,are,4866,0.98,10,244,1.36
14,are,4866,0.98,8,244,1.03
15,to,24031,4.82,35,265,0.86
16,with,7321,1.47,10,257,0.77
17,it,11166,2.24,13,254,0.54
18,of,61917,12.43,72,270,0.53
19,the,97053,19.48,110,272,0.50
20,as,7946,1.60,9,256,0.50
21,this,7455,1.50,8,255,0.42
22,in,24258,4.87,23,267,0.24
23,by,11341,2.28,10,266,0.14
24,that,11526,2.31,10,252,0.11
25,and,25792,5.18,21,270,0.02
26,a,22014,4.42,17,272,-0.06
27,be,10548,2.12,8,258,-0.08
28,and,25792,5.18,19,270,-0.12
29,to,24031,4.82,17,265,-0.18
30,by,11341,2.28,8,266,-0.19
31,the,97053,19.48,56,272,-0.48
32,of,61917,12.43,35,270,-0.51
33,in,24258,4.87,9,267,-1.11
34,a,22014,4.42,8,272,-1.14
