No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8137,1.10,62,242,3.81
2,all,4992,0.68,25,243,3.21
3,have,10658,1.45,26,249,2.17
4,which,21188,2.87,42,258,1.87
5,with,20213,2.74,32,255,1.54
6,that,24213,3.28,31,251,1.24
7,are,16741,2.27,21,256,1.21
8,be,19142,2.60,23,257,1.15
9,to,55447,7.52,66,258,1.13
10,by,22403,3.04,24,257,0.98
11,as,22813,3.09,23,256,0.89
12,by,22403,3.04,21,257,0.79
13,to,55447,7.52,49,258,0.70
14,the,271179,36.79,235,259,0.68
15,in,68741,9.33,53,259,0.51
16,of,154415,20.95,103,258,0.30
17,and,67666,9.18,38,258,0.05
18,the,271179,36.79,109,259,-0.43
19,and,67666,9.18,25,258,-0.55
20,of,154415,20.95,52,258,-0.69
