No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,despite,14,0.02,5,11,8.21
2,spite,89,0.11,12,47,6.80
3,supported,118,0.14,12,55,6.40
4,matter,333,0.40,25,92,5.96
5,curious,80,0.10,6,38,5.96
6,owing,378,0.46,26,93,5.83
7,attention,224,0.27,13,76,5.59
8,remarkable,207,0.25,11,76,5.46
9,explain,110,0.13,5,53,5.23
10,brought,268,0.32,10,83,4.95
11,express,140,0.17,5,69,4.89
12,bearing,175,0.21,6,53,4.83
13,striking,150,0.18,5,62,4.79
14,beyond,256,0.31,8,89,4.69
15,important,558,0.67,17,115,4.66
16,due,1439,1.74,37,120,4.41
17,actual,582,0.70,14,107,4.32
18,explained,210,0.25,5,74,4.30
19,established,217,0.26,5,59,4.25
20,expected,251,0.30,5,72,4.04
21,indicated,445,0.54,8,95,3.90
22,account,647,0.78,11,113,3.82
23,consideration,354,0.43,6,70,3.81
24,experimental,571,0.69,9,73,3.71
25,known,734,0.89,11,111,3.63
26,lie,731,0.88,10,90,3.50
27,seem,380,0.46,5,88,3.45
28,view,1008,1.22,13,104,3.42
29,following,1162,1.40,12,128,3.10
30,clear,513,0.62,5,98,3.01
31,although,560,0.68,5,99,2.89
32,shown,1808,2.18,16,127,2.87
33,new,800,0.97,7,106,2.86
34,already,777,0.94,6,122,2.68
35,individual,833,1.01,5,74,2.31
36,however,1715,2.07,10,43,2.27
37,observed,1414,1.71,7,106,2.04
38,point,3138,3.79,14,128,1.89
39,upon,1347,1.63,6,104,1.88
40,observed,1414,1.71,6,106,1.81
41,method,1681,2.03,7,119,1.79
42,possible,1250,1.51,5,125,1.73
43,may,4525,5.46,16,131,1.55
44,line,3511,4.24,11,111,1.38
45,found,2650,3.20,8,131,1.32
46,would,2561,3.09,7,131,1.18
47,obtained,1846,2.23,5,124,1.17
48,observation,1885,2.28,5,71,1.14
49,difference,1922,2.32,5,120,1.11
50,series,3151,3.80,8,117,1.07
51,found,2650,3.20,6,131,0.91
52,show,2257,2.73,5,124,0.88
53,first,3163,3.82,7,132,0.87
54,number,2408,2.91,5,123,0.78
55,made,2441,2.95,5,132,0.76
56,also,3000,3.62,6,132,0.73
57,also,3000,3.62,6,132,0.73
58,small,2552,3.08,5,130,0.70
59,case,4164,5.03,8,131,0.67
60,point,3138,3.79,6,128,0.66
61,pressure,2620,3.16,5,62,0.66
62,curve,2884,3.48,5,79,0.52
63,line,3511,4.24,6,111,0.50
64,case,4164,5.03,7,131,0.48
65,value,5504,6.65,9,111,0.44
66,mean,3124,3.77,5,81,0.41
67,form,3490,4.21,5,128,0.25
