No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,new,796,0.14,12,141,4.44
2,these,2875,0.50,32,260,4.00
3,some,1750,0.30,11,254,3.17
4,have,5193,0.90,21,278,2.54
5,which,10496,1.83,41,281,2.49
6,been,3120,0.54,11,276,2.34
7,or,4866,0.85,13,276,1.94
8,that,11683,2.03,27,277,1.73
9,from,7755,1.35,16,285,1.57
10,i,7427,1.29,12,281,1.21
11,to,24877,4.33,33,285,0.93
12,be,10441,1.82,13,282,0.84
13,the,105439,18.36,110,298,0.58
14,that,11683,2.03,12,277,0.56
15,by,11557,2.01,11,293,0.45
16,of,64256,11.19,61,295,0.45
17,to,24877,4.33,19,285,0.13
18,in,25290,4.40,17,293,-0.05
19,and,27413,4.77,17,297,-0.17
20,and,27413,4.77,16,297,-0.25
21,a,22162,3.86,12,297,-0.36
22,the,105439,18.36,50,298,-0.55
23,of,64256,11.19,30,295,-0.58
