No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,499,0.13,22,130,5.43
2,these,6272,1.60,79,245,3.62
3,have,8644,2.21,48,254,2.44
4,all,4075,1.04,20,238,2.26
5,i,12004,3.07,52,263,2.08
6,from,13603,3.48,56,261,2.01
7,been,5151,1.32,21,256,2.00
8,which,19909,5.09,73,260,1.84
9,are,10777,2.76,38,268,1.79
10,that,21135,5.40,57,258,1.40
11,with,15423,3.94,35,272,1.15
12,to,45646,11.67,89,275,0.93
13,with,15423,3.94,29,272,0.88
14,by,19317,4.94,36,275,0.87
15,in,51670,13.21,87,275,0.72
16,be,18070,4.62,30,266,0.70
17,the,202652,51.81,323,276,0.64
18,it,19713,5.04,31,256,0.62
19,by,19317,4.94,29,275,0.55
20,on,13832,3.54,20,275,0.50
21,of,114984,29.40,163,276,0.47
22,as,17149,4.38,22,264,0.33
23,as,17149,4.38,21,264,0.26
24,and,52035,13.30,57,275,0.10
25,to,45646,11.67,45,275,-0.05
26,that,21135,5.40,20,258,-0.11
27,the,202652,51.81,157,276,-0.40
28,and,52035,13.30,31,275,-0.78
29,a,40403,10.33,23,274,-0.85
30,of,114984,29.40,54,276,-1.12
31,in,51670,13.21,23,275,-1.20
