No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,following,1051,0.19,13,225,4.09
2,these,3437,0.62,40,276,4.00
3,some,2013,0.37,16,267,3.45
4,have,5510,1.00,29,295,2.86
5,from,9433,1.71,34,310,2.31
6,i,8770,1.59,29,294,2.19
7,which,11396,2.07,34,299,2.04
8,are,5806,1.06,16,299,1.92
9,or,5935,1.08,13,285,1.59
10,that,13268,2.41,27,298,1.49
11,be,11489,2.09,18,304,1.11
12,to,30203,5.49,36,317,0.71
13,the,126786,23.04,143,321,0.63
14,by,13093,2.38,13,318,0.45
15,of,76412,13.89,73,321,0.39
16,in,30632,5.57,28,320,0.33
17,to,30203,5.49,23,317,0.07
18,and,34933,6.35,25,321,-0.02
19,a,25446,4.62,14,318,-0.40
20,the,126786,23.04,68,321,-0.44
21,of,76412,13.89,37,321,-0.59
22,and,34933,6.35,16,321,-0.67
