No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,6745,1.11,65,234,3.87
2,have,8596,1.42,25,241,2.14
3,which,20880,3.44,51,245,1.89
4,i,10675,1.76,24,234,1.77
5,from,15408,2.54,31,246,1.61
6,are,12470,2.05,24,243,1.55
7,that,21142,3.48,36,245,1.37
8,as,18777,3.09,26,244,1.07
9,by,21126,3.48,28,248,1.01
10,to,48462,7.98,63,247,0.98
11,the,223002,36.71,231,249,0.65
12,to,48462,7.98,44,247,0.46
13,in,58322,9.60,52,248,0.44
14,of,136885,22.53,105,249,0.22
15,and,57353,9.44,34,249,-0.15
16,a,43960,7.24,25,246,-0.21
17,the,223002,36.71,118,249,-0.32
18,and,57353,9.44,27,249,-0.48
19,of,136885,22.53,62,249,-0.54
20,in,58322,9.60,25,248,-0.62
