No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,183,0.04,10,61,6.09
2,new,846,0.17,12,140,4.14
3,these,2709,0.54,35,237,4.01
4,some,1814,0.36,11,238,2.92
5,have,5215,1.05,26,252,2.63
6,been,3019,0.61,15,247,2.63
7,which,10632,2.13,46,255,2.43
8,from,7381,1.48,18,259,1.60
9,that,11526,2.31,28,252,1.60
10,i,7604,1.53,17,257,1.48
11,are,4866,0.98,10,244,1.36
12,to,24031,4.82,35,265,0.86
13,with,7321,1.47,10,257,0.77
14,it,11166,2.24,13,254,0.54
15,of,61917,12.43,72,270,0.53
16,the,97053,19.48,110,272,0.50
17,in,24258,4.87,23,267,0.24
18,by,11341,2.28,10,266,0.14
19,that,11526,2.31,10,252,0.11
20,and,25792,5.18,21,270,0.02
21,a,22014,4.42,17,272,-0.06
22,and,25792,5.18,19,270,-0.12
23,to,24031,4.82,17,265,-0.18
24,the,97053,19.48,56,272,-0.48
25,of,61917,12.43,35,270,-0.51
