No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,3033,0.39,28,190,4.17
2,some,2299,0.29,13,207,3.47
3,have,4939,0.63,17,213,2.75
4,are,5594,0.72,13,209,2.18
5,which,12007,1.54,25,226,2.02
6,i,9379,1.20,14,222,1.54
7,that,13350,1.71,17,225,1.32
8,to,29152,3.73,29,238,0.96
9,it,13962,1.79,12,226,0.75
10,of,64530,8.26,51,243,0.63
11,in,26280,3.36,20,239,0.57
12,to,29152,3.73,21,238,0.49
13,the,111297,14.24,78,243,0.45
14,and,30451,3.90,18,242,0.21
15,and,30451,3.90,12,242,-0.38
16,the,111297,14.24,43,243,-0.41
17,of,64530,8.26,24,243,-0.46
