No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,many,628,0.11,13,198,4.92
2,these,2967,0.51,28,254,3.79
3,some,1716,0.29,15,249,3.68
4,which,10089,1.72,40,276,2.54
5,have,5237,0.89,20,272,2.48
6,or,4720,0.81,14,270,2.12
7,i,7418,1.27,20,274,1.98
8,that,11545,1.97,24,273,1.60
9,from,7951,1.36,16,282,1.56
10,to,25349,4.33,32,283,0.89
11,be,10135,1.73,12,280,0.79
12,the,106788,18.24,108,295,0.57
13,by,11241,1.92,11,290,0.52
14,of,63951,10.93,53,293,0.28
15,to,25349,4.33,17,283,-0.03
16,in,26300,4.49,17,290,-0.08
17,and,27164,4.64,16,294,-0.21
18,a,21667,3.70,12,294,-0.30
19,the,106788,18.24,49,295,-0.57
20,of,63951,10.93,28,293,-0.64
21,and,27164,4.64,11,294,-0.76
