No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,438,0.10,24,120,5.88
2,these,4960,1.15,59,253,3.68
3,have,7054,1.64,45,264,2.78
4,been,4390,1.02,22,263,2.43
5,from,11937,2.78,56,273,2.33
6,i,10661,2.48,43,270,2.12
7,which,16288,3.79,64,265,2.08
8,are,9000,2.09,31,280,1.89
9,that,17113,3.98,47,268,1.56
10,by,16578,3.86,30,288,0.96
11,with,12673,2.95,22,282,0.90
12,this,10382,2.41,17,264,0.82
13,to,38473,8.95,60,288,0.75
14,on,11935,2.78,18,287,0.70
15,in,41610,9.68,62,288,0.68
16,the,170634,39.68,250,289,0.66
17,of,97346,22.64,138,289,0.61
18,as,13469,3.13,19,272,0.60
19,with,12673,2.95,17,282,0.53
20,as,13469,3.13,17,272,0.44
21,by,16578,3.86,19,288,0.30
22,it,15783,3.67,17,265,0.21
23,and,44247,10.29,43,288,0.06
24,to,38473,8.95,31,288,-0.21
25,the,170634,39.68,118,289,-0.43
26,a,33755,7.85,21,285,-0.58
27,and,44247,10.29,24,288,-0.78
28,of,97346,22.64,46,289,-0.98
