No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,10202,1.41,89,237,3.98
2,are,23978,3.32,45,240,1.76
3,which,28279,3.91,51,241,1.70
4,that,36387,5.03,52,240,1.37
5,to,75852,10.50,88,242,1.07
6,the,380948,52.71,354,243,0.75
7,in,91800,12.70,71,243,0.48
8,to,75852,10.50,55,242,0.39
9,of,209530,28.99,140,244,0.27
10,and,93586,12.95,47,244,-0.14
11,of,209530,28.99,92,244,-0.33
12,the,380948,52.71,161,243,-0.39
