No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,many,824,0.17,15,189,4.49
2,these,4285,0.87,51,268,3.87
3,some,2171,0.44,16,257,3.18
4,have,6253,1.27,40,283,2.98
5,been,4010,0.81,21,282,2.69
6,from,10880,2.21,41,297,2.21
7,are,7496,1.52,27,294,2.15
8,i,10129,2.06,36,289,2.13
9,which,13905,2.82,48,287,2.09
10,that,15126,3.07,40,288,1.70
11,by,15482,3.14,23,308,0.87
12,with,11741,2.38,17,304,0.83
13,to,35556,7.22,48,309,0.73
14,of,89241,18.12,117,311,0.69
15,in,36831,7.48,46,311,0.62
16,the,152723,31.00,189,311,0.61
17,by,15482,3.14,17,308,0.44
18,and,41047,8.33,38,310,0.19
19,to,35556,7.22,24,309,-0.27
20,the,152723,31.00,98,311,-0.34
21,a,32071,6.51,18,309,-0.53
22,of,89241,18.12,44,311,-0.72
23,and,41047,8.33,19,310,-0.81
