No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,448,0.11,24,126,5.79
2,many,1095,0.27,18,192,4.08
3,these,5166,1.25,71,256,3.83
4,have,7394,1.79,45,265,2.65
5,from,12207,2.96,57,272,2.27
6,been,4536,1.10,21,264,2.26
7,i,10989,2.66,47,271,2.14
8,which,17207,4.17,70,267,2.07
9,are,9525,2.31,34,278,1.88
10,that,17697,4.29,50,269,1.54
11,with,13110,3.18,27,283,1.09
12,by,17114,4.15,32,286,0.95
13,to,39540,9.58,65,286,0.76
14,with,13110,3.18,21,283,0.72
15,the,177516,43.01,264,287,0.62
16,in,43387,10.51,64,286,0.61
17,as,13907,3.37,20,271,0.57
18,of,101825,24.67,143,287,0.54
19,as,13907,3.37,19,271,0.50
20,it,16317,3.95,21,266,0.41
21,by,17114,4.15,21,286,0.34
22,be,15250,3.70,18,274,0.28
23,to,39540,9.58,41,286,0.10
24,and,46177,11.19,45,286,0.01
25,the,177516,43.01,130,287,-0.40
26,a,35362,8.57,23,285,-0.58
27,and,46177,11.19,23,286,-0.96
28,of,101825,24.67,48,287,-1.04
29,in,43387,10.51,17,286,-1.31
