No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8887,1.18,74,214,3.97
2,are,19949,2.65,38,218,1.84
3,which,24053,3.19,41,220,1.68
4,that,31538,4.19,46,219,1.46
5,to,67046,8.90,77,221,1.11
6,the,333462,44.28,300,222,0.76
7,in,79960,10.62,62,222,0.55
8,to,67046,8.90,44,221,0.31
9,of,182658,24.26,114,223,0.23
10,and,82270,10.93,35,223,-0.32
11,of,182658,24.26,75,223,-0.37
12,the,333462,44.28,131,222,-0.44
