No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,3699,0.67,43,268,4.00
2,some,1996,0.36,15,256,3.37
3,have,5669,1.03,29,285,2.81
4,i,9307,1.70,33,289,2.28
5,from,9983,1.82,33,299,2.18
6,which,12147,2.21,35,289,1.98
7,are,6399,1.17,17,295,1.87
8,that,13765,2.51,36,290,1.84
9,with,10470,1.91,14,305,0.88
10,by,13935,2.54,17,309,0.74
11,to,32456,5.91,37,311,0.65
12,the,138189,25.18,155,313,0.62
13,be,12621,2.30,14,294,0.61
14,of,79781,14.54,88,313,0.60
15,in,32843,5.98,34,312,0.51
16,and,36650,6.68,29,312,0.12
17,to,32456,5.91,22,311,-0.10
18,a,27889,5.08,15,310,-0.44
19,the,138189,25.18,72,313,-0.48
20,and,36650,6.68,18,312,-0.57
21,of,79781,14.54,38,313,-0.61
