No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,8644,1.34,32,228,2.58
2,very,3041,0.47,10,210,2.41
3,is,13565,2.10,36,231,2.10
4,that,13236,2.05,35,233,2.09
5,in,25884,4.01,62,248,1.95
6,i,9049,1.40,16,230,1.51
7,but,5395,0.84,9,228,1.43
8,is,13565,2.10,19,231,1.18
9,that,13236,2.05,15,233,0.87
10,a,24058,3.73,27,245,0.86
11,was,9089,1.41,10,224,0.83
12,as,9513,1.48,10,226,0.76
13,this,8644,1.34,9,228,0.75
14,to,28352,4.40,28,245,0.67
15,it,13708,2.13,13,233,0.61
16,to,28352,4.40,25,245,0.51
17,a,24058,3.73,21,245,0.49
18,be,12064,1.87,10,234,0.42
19,be,12064,1.87,10,234,0.42
20,in,25884,4.01,17,248,0.08
21,the,109288,16.95,65,251,-0.06
22,the,109288,16.95,52,251,-0.38
23,and,29895,4.64,14,249,-0.41
24,of,62711,9.73,26,251,-0.58
25,and,29895,4.64,11,249,-0.75
26,of,62711,9.73,23,251,-0.76
