No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,spite,96,0.04,14,123,6.35
2,view,775,0.35,20,123,3.85
3,that,17807,7.97,451,123,3.82
4,due,1238,0.55,28,123,3.66
5,in,51103,22.86,445,123,2.28
6,this,12298,5.50,80,123,1.86
7,all,3592,1.61,22,123,1.78
8,no,3651,1.63,20,123,1.61
9,only,3302,1.48,14,123,1.24
10,from,12888,5.77,53,123,1.20
11,there,4019,1.80,16,123,1.15
12,is,33781,15.11,131,123,1.12
13,when,3901,1.75,15,123,1.10
14,is,33781,15.11,115,123,0.93
15,but,5915,2.65,20,123,0.92
16,by,17645,7.89,56,123,0.83
17,it,13137,5.88,41,123,0.80
18,were,4995,2.23,15,123,0.75
19,the,178451,79.83,529,123,0.73
20,be,16545,7.40,48,123,0.70
21,not,7179,3.21,19,123,0.56
22,was,8030,3.59,21,123,0.55
23,has,5381,2.41,14,123,0.54
24,it,13137,5.88,34,123,0.53
25,not,7179,3.21,18,123,0.49
26,to,37148,16.62,86,123,0.37
27,the,178451,79.83,386,123,0.27
28,for,15051,6.73,32,123,0.25
29,be,16545,7.40,33,123,0.16
30,was,8030,3.59,16,123,0.16
31,are,15598,6.98,30,123,0.10
32,are,15598,6.98,30,123,0.10
33,and,51265,22.93,97,123,0.08
34,for,15051,6.73,28,123,0.06
35,in,51103,22.86,93,123,0.02
36,with,13948,6.24,24,123,-0.06
37,this,12298,5.50,21,123,-0.07
38,which,12362,5.53,21,123,-0.07
39,a,44953,20.11,75,123,-0.10
40,with,13948,6.24,22,123,-0.18
41,that,17807,7.97,28,123,-0.19
42,at,11214,5.02,16,123,-0.33
43,to,37148,16.62,52,123,-0.35
44,by,17645,7.89,23,123,-0.46
45,as,13421,6.00,17,123,-0.50
46,as,13421,6.00,17,123,-0.50
47,of,104576,46.78,122,123,-0.62
48,a,44953,20.11,52,123,-0.63
49,of,104576,46.78,118,123,-0.67
50,and,51265,22.93,33,123,-1.47
