No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,8527,1.17,29,259,2.63
2,very,3057,0.42,9,259,2.42
3,that,13324,1.83,34,259,2.21
4,is,13497,1.86,34,259,2.19
5,in,25533,3.52,52,259,1.89
6,i,9248,1.27,14,259,1.46
7,is,13497,1.86,16,259,1.11
8,this,8527,1.17,9,259,0.94
9,that,13324,1.83,14,259,0.93
10,was,8892,1.22,9,259,0.88
11,a,24007,3.31,23,259,0.80
12,it,13845,1.91,13,259,0.77
13,to,27862,3.84,24,259,0.64
14,a,24007,3.31,19,259,0.52
15,to,27862,3.84,20,259,0.38
16,in,25533,3.52,15,259,0.09
17,the,107489,14.80,58,259,-0.03
18,the,107489,14.80,47,259,-0.33
19,and,29734,4.09,13,259,-0.33
20,of,62046,8.54,24,259,-0.51
21,of,62046,8.54,19,259,-0.85
22,and,29734,4.09,9,259,-0.86
