No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,owing,772,0.36,46,161,5.01
2,due,2209,1.02,78,218,4.26
3,that,33134,15.30,1103,228,4.17
4,view,1778,0.82,43,206,3.71
5,they,6516,3.01,46,224,1.93
6,this,22514,10.40,156,228,1.91
7,in,95778,44.24,611,229,1.79
8,by,31153,14.39,167,229,1.54
9,is,60063,27.74,308,229,1.47
10,all,5997,2.77,28,226,1.34
11,only,6454,2.98,29,226,1.28
12,there,6770,3.13,30,225,1.26
13,it,25351,11.71,100,227,1.09
14,the,355383,164.14,1232,229,0.91
15,to,70294,32.47,240,229,0.89
16,has,9667,4.46,31,228,0.80
17,from,24319,11.23,75,228,0.74
18,these,9415,4.35,28,227,0.69
19,not,12852,5.94,38,227,0.68
20,be,27164,12.55,79,229,0.65
21,we,9677,4.47,28,216,0.65
22,is,60063,27.74,170,229,0.62
23,was,15705,7.25,40,222,0.46
24,not,12852,5.94,31,227,0.38
25,it,25351,11.71,61,227,0.38
26,are,27160,12.54,63,228,0.33
27,the,355383,164.14,775,229,0.24
28,was,15705,7.25,32,222,0.14
29,be,27164,12.55,53,229,0.08
30,for,24277,11.21,47,229,0.07
31,which,22879,10.57,44,227,0.06
32,in,95778,44.24,169,229,-0.07
33,are,27160,12.54,47,228,-0.09
34,as,26679,12.32,46,229,-0.10
35,this,22514,10.40,38,228,-0.13
36,with,27382,12.65,45,228,-0.17
37,for,24277,11.21,39,229,-0.20
38,a,79673,36.80,125,229,-0.24
39,and,98794,45.63,154,229,-0.25
40,on,25989,12.00,36,229,-0.42
41,to,70294,32.47,95,229,-0.45
42,of,199951,92.35,259,229,-0.51
43,a,79673,36.80,98,229,-0.59
44,with,27382,12.65,32,228,-0.66
45,of,199951,92.35,231,229,-0.68
46,that,33134,15.30,38,228,-0.69
47,as,26679,12.32,30,229,-0.72
48,on,25989,12.00,28,229,-0.78
49,and,98794,45.63,66,229,-1.47
