No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,owing,823,0.38,48,178,4.97
2,due,2377,1.11,93,241,4.39
3,that,36253,16.90,1248,258,4.21
4,lies,1069,0.50,30,166,3.91
5,view,1967,0.92,49,234,3.74
6,they,7422,3.46,56,249,2.02
7,this,25122,11.71,178,257,1.93
8,in,107863,50.27,643,258,1.68
9,by,35248,16.43,193,258,1.55
10,all,6672,3.11,34,254,1.45
11,is,66232,30.87,333,258,1.43
12,there,7571,3.53,37,254,1.39
13,it,27753,12.93,125,256,1.27
14,only,6947,3.24,30,255,1.21
15,no,9490,4.42,39,256,1.14
16,the,393105,183.21,1403,259,0.94
17,has,10711,4.99,38,257,0.93
18,to,77759,36.24,269,258,0.89
19,not,13991,6.52,48,255,0.88
20,these,10744,5.01,35,255,0.81
21,from,27200,12.68,86,258,0.76
22,were,10845,5.05,31,251,0.62
23,is,66232,30.87,188,258,0.61
24,be,29204,13.61,80,258,0.56
25,are,30515,14.22,78,257,0.46
26,was,17695,8.25,44,252,0.42
27,was,17695,8.25,43,252,0.38
28,have,12404,5.78,30,257,0.38
29,not,13991,6.52,33,255,0.34
30,it,27753,12.93,59,256,0.19
31,the,393105,183.21,826,259,0.17
32,which,25735,11.99,54,256,0.17
33,this,25122,11.71,51,257,0.12
34,for,26342,12.28,52,258,0.08
35,as,29504,13.75,57,258,0.05
36,be,29204,13.61,55,258,0.01
37,in,107863,50.27,200,258,-0.01
38,and,109122,50.86,184,259,-0.14
39,with,30707,14.31,50,258,-0.20
40,a,88671,41.32,138,258,-0.26
41,are,30515,14.22,45,257,-0.34
42,a,88671,41.32,122,258,-0.44
43,of,223936,104.36,302,259,-0.47
44,at,22526,10.50,30,258,-0.49
45,for,26342,12.28,34,258,-0.53
46,on,29259,13.64,37,258,-0.56
47,of,223936,104.36,280,259,-0.58
48,as,29504,13.75,35,258,-0.65
49,to,77759,36.24,92,258,-0.66
50,with,30707,14.31,36,258,-0.67
51,on,29259,13.64,32,258,-0.77
52,that,36253,16.90,37,258,-0.87
53,by,35248,16.43,31,258,-1.08
54,and,109122,50.86,73,259,-1.48
