No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,135,0.02,9,78,8.52
2,respecting,155,0.03,9,83,8.32
3,new,498,0.09,10,147,6.79
4,following,1051,0.19,13,225,6.09
5,these,3437,0.62,27,276,5.43
6,we,3312,0.60,7,225,3.54
7,which,11396,2.07,24,299,3.53
8,or,5935,1.08,11,285,3.35
9,i,8770,1.59,11,294,2.79
10,have,5510,1.00,6,295,2.58
11,are,5806,1.06,6,299,2.51
12,that,13268,2.41,12,298,2.32
13,as,9493,1.73,6,303,1.80
14,the,126786,23.04,77,321,1.74
15,and,34933,6.35,13,321,1.03
16,of,76412,13.89,18,321,0.37
17,to,30203,5.49,7,317,0.35
18,in,30632,5.57,7,320,0.33
19,of,76412,13.89,7,321,-0.99
