No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,139,0.03,9,76,8.45
2,respecting,153,0.03,9,83,8.31
3,new,505,0.09,9,156,6.59
4,following,1086,0.20,12,226,5.90
5,these,3491,0.65,24,274,5.21
6,which,11531,2.14,24,297,3.49
7,or,6100,1.13,11,285,3.28
8,we,3447,0.64,6,225,3.23
9,i,8913,1.65,12,294,2.86
10,are,5985,1.11,7,299,2.66
11,that,13266,2.46,12,298,2.29
12,as,9688,1.79,7,303,1.96
13,the,129921,24.06,81,320,1.75
14,and,35216,6.52,13,319,1.00
15,to,30909,5.72,9,317,0.65
16,of,76816,14.22,20,320,0.49
17,in,31200,5.78,8,319,0.47
18,of,76816,14.22,6,320,-1.25
