Context,Collocate
"Years 1740-1749: Truth of the Facts therein contained, as",the
"Years 1740-1749: Truth of the Facts therein contained, as",the
Years 1740-1749: Witnesses of the Facts here mentioned. The,the
"Years 1740-1749: but from the Facts themselves, it was",the
Years 1740-1749: Truth of the Facts here related. Andit,the
"Years 1740-1749: Opinion:""Bur among the Facts which he colleds",the
