No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,important,127,0.03,5,81,7.20
2,respecting,173,0.05,5,95,6.75
3,preceding,389,0.10,7,104,6.07
4,new,848,0.23,14,149,5.94
5,chemical,394,0.11,6,80,5.83
6,these,2752,0.74,31,223,5.39
7,many,639,0.17,6,172,5.13
8,some,1890,0.51,7,230,3.79
9,other,2470,0.66,9,230,3.76
10,which,10831,2.91,28,244,3.27
11,that,11804,3.17,28,242,3.14
12,are,5011,1.35,7,234,2.38
13,or,4499,1.21,6,244,2.31
14,i,7468,2.01,7,247,1.80
15,and,27060,7.27,21,259,1.53
16,in,24302,6.53,18,258,1.46
17,the,96386,25.88,71,260,1.46
18,it,11683,3.14,8,244,1.35
19,of,62502,16.78,30,259,0.84
20,to,24038,6.45,5,257,-0.37
21,of,62502,16.78,9,259,-0.90
22,the,96386,25.88,10,260,-1.37
