No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,438,0.10,11,120,6.75
2,preceding,739,0.17,11,152,6.00
3,these,4960,1.15,52,253,5.49
4,such,1884,0.44,10,213,4.51
5,other,4181,0.97,13,250,3.74
6,which,16288,3.79,44,265,3.54
7,are,9000,2.09,21,280,3.33
8,i,10661,2.48,15,270,2.60
9,that,17113,3.98,18,268,2.18
10,or,8666,2.02,9,264,2.16
11,on,11935,2.78,11,287,1.99
12,the,170634,39.68,130,289,1.71
13,as,13469,3.13,9,272,1.52
14,and,44247,10.29,24,288,1.22
15,it,15783,3.67,8,265,1.12
16,of,97346,22.64,41,289,0.86
17,in,41610,9.68,12,288,0.31
18,to,38473,8.95,11,288,0.30
19,of,97346,22.64,13,289,-0.80
