No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,chemical,322,0.08,5,65,6.02
2,new,728,0.17,11,130,5.98
3,these,3136,0.75,35,189,5.55
4,preceding,464,0.11,5,104,5.50
5,many,837,0.20,8,159,5.32
6,some,2288,0.55,10,195,4.19
7,other,2829,0.68,12,200,4.15
8,which,12570,3.00,31,211,3.37
9,are,5613,1.34,11,206,3.04
10,that,13642,3.26,22,210,2.75
11,or,5053,1.21,7,211,2.54
12,as,9132,2.18,9,213,2.04
13,and,29754,7.11,26,226,1.87
14,have,5766,1.38,5,207,1.86
15,i,8493,2.03,7,213,1.79
16,the,102682,24.53,72,229,1.55
17,it,13733,3.28,8,215,1.29
18,in,25660,6.13,13,224,1.08
19,by,12058,2.88,6,224,1.06
20,to,26792,6.40,11,220,0.78
21,of,69444,16.59,24,230,0.53
22,of,69444,16.59,7,230,-1.25
23,the,102682,24.53,6,229,-2.03
