Context,Collocate
"Years 1739-1748: Truth of the Facts therein contained, as",the
"Years 1739-1748: Truth of the Facts therein contained, as",the
Years 1739-1748: Witnesses of the Facts here mentioned. The,the
"Years 1739-1748: but from the Facts themselves, it was",the
Years 1739-1748: Truth of the Facts here related. Andit,the
