No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recorded,90,0.02,12,31,9.02
2,additional,163,0.04,8,83,7.57
3,connected,487,0.13,12,97,6.58
4,preceding,513,0.13,8,111,5.92
5,these,5372,1.38,53,193,5.26
6,observed,1348,0.35,10,146,4.85
7,i,9649,2.48,23,207,3.21
8,other,3888,1.00,9,198,3.17
9,which,16129,4.15,37,211,3.16
10,or,8235,2.12,12,213,2.50
11,are,8555,2.20,10,214,2.18
12,the,160019,41.21,145,222,1.81
13,it,15072,3.88,13,211,1.74
14,that,16571,4.27,13,205,1.61
15,and,40584,10.45,29,222,1.47
16,on,11616,2.99,8,220,1.42
17,to,36060,9.29,13,222,0.49
18,of,93505,24.08,24,222,-0.00
19,in,42388,10.92,10,221,-0.13
20,of,93505,24.08,17,222,-0.50
