No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,109,0.03,4,46,7.00
2,respecting,164,0.05,5,78,6.73
3,seem,157,0.04,4,65,6.48
4,new,664,0.19,11,135,5.85
5,preceding,366,0.10,6,95,5.84
6,chemical,377,0.11,6,72,5.80
7,these,2718,0.78,36,205,5.53
8,many,683,0.20,8,166,5.35
9,few,358,0.10,4,134,5.29
10,appear,501,0.14,4,154,4.80
11,above,693,0.20,5,151,4.66
12,general,580,0.17,4,133,4.59
13,other,2380,0.68,9,213,3.72
14,some,2007,0.57,7,211,3.61
15,which,10778,3.09,32,224,3.37
16,are,4525,1.30,12,216,3.21
17,upon,1936,0.55,4,169,2.85
18,they,2137,0.61,4,201,2.71
19,that,11601,3.32,21,224,2.66
20,or,4298,1.23,6,223,2.29
21,i,7401,2.12,9,225,2.09
22,as,7591,2.17,7,226,1.69
23,the,88639,25.38,75,242,1.56
24,and,25589,7.33,20,240,1.45
25,in,22970,6.58,17,240,1.37
26,it,11437,3.27,8,228,1.29
27,to,22861,6.54,11,238,0.75
28,of,60066,17.20,26,243,0.60
29,by,10813,3.10,4,239,0.37
30,of,60066,17.20,8,243,-1.10
31,the,88639,25.38,8,242,-1.67
