No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,445,0.11,10,125,6.52
2,preceding,655,0.16,11,154,6.10
3,these,5448,1.33,64,255,5.59
4,such,2060,0.50,10,215,4.31
5,other,4774,1.17,13,254,3.48
6,which,18096,4.42,47,266,3.41
7,are,10021,2.45,23,277,3.23
8,i,11204,2.74,16,270,2.55
9,that,18706,4.57,20,267,2.13
10,on,12682,3.10,11,285,1.83
11,the,184260,44.99,148,285,1.72
12,it,17480,4.27,12,265,1.49
13,as,14939,3.65,9,269,1.30
14,and,47786,11.67,28,284,1.26
15,of,105372,25.73,44,285,0.77
16,in,45457,11.10,13,284,0.23
17,to,41494,10.13,10,284,-0.02
18,of,105372,25.73,18,285,-0.52
