No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,respecting,187,0.05,5,95,6.58
2,preceding,363,0.10,7,104,6.10
3,new,831,0.23,14,153,5.91
4,chemical,400,0.11,6,79,5.74
5,these,2812,0.79,37,222,5.55
6,many,683,0.19,5,175,4.71
7,some,1959,0.55,8,227,3.86
8,other,2520,0.71,9,229,3.67
9,which,10950,3.07,31,240,3.34
10,are,4921,1.38,11,230,3.00
11,that,12039,3.38,25,239,2.89
12,or,4544,1.27,6,239,2.24
13,i,7435,2.08,7,243,1.75
14,the,97174,27.24,78,257,1.52
15,in,24310,6.82,19,256,1.48
16,and,27381,7.68,21,256,1.45
17,it,11933,3.35,9,243,1.43
18,as,7927,2.22,5,243,1.17
19,of,63632,17.84,29,257,0.70
20,to,24428,6.85,6,256,-0.19
21,of,63632,17.84,9,257,-0.99
22,the,97174,27.24,10,257,-1.45
