No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,4689,0.98,53,268,5.76
2,preceding,732,0.15,8,159,5.72
3,following,1396,0.29,8,240,4.78
4,such,1849,0.38,8,231,4.38
5,which,15517,3.23,38,286,3.56
6,are,8396,1.75,20,296,3.52
7,other,4004,0.83,8,267,3.26
8,i,10551,2.19,13,289,2.57
9,or,8738,1.82,9,280,2.31
10,that,16577,3.45,16,287,2.21
11,the,166273,34.59,107,309,1.63
12,as,13045,2.71,8,293,1.56
13,and,44896,9.34,23,308,1.30
14,of,96518,20.08,37,309,0.88
15,in,40108,8.34,13,309,0.64
16,to,37965,7.90,9,307,0.19
17,of,96518,20.08,12,309,-0.74
