Context,Collocate
"Years 1741-1750: Truth of the Facts therein contained, as",the
"Years 1741-1750: Truth of the Facts therein contained, as",the
Years 1741-1750: Witnesses of the Facts here mentioned. The,the
"Years 1741-1750: but from the Facts themselves, it was",the
Years 1741-1750: Truth of the Facts here related. Andit,the
"Years 1741-1750: Opinion:""Bur among the Facts which he colleds",the
