No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recorded,115,0.03,12,39,8.67
2,connected,595,0.15,11,108,6.18
3,these,5929,1.52,54,214,5.15
4,observed,1407,0.36,11,166,4.93
5,such,2041,0.52,9,194,4.11
6,other,4581,1.17,11,220,3.23
7,which,18312,4.68,40,231,3.09
8,i,10515,2.69,22,231,3.03
9,or,9533,2.44,11,235,2.17
10,are,9898,2.53,11,238,2.12
11,the,181356,46.37,158,246,1.77
12,that,18864,4.82,15,225,1.64
13,it,17189,4.40,13,231,1.56
14,on,12521,3.20,9,244,1.49
15,and,46360,11.85,30,246,1.34
16,as,15663,4.00,9,238,1.17
17,to,40878,10.45,13,246,0.31
18,of,104384,26.69,31,246,0.22
19,in,47111,12.05,10,245,-0.27
20,of,104384,26.69,18,246,-0.57
