No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,155,0.03,7,68,7.80
2,respecting,167,0.03,7,87,7.69
3,stated,376,0.08,7,121,6.52
4,new,627,0.13,8,162,5.97
5,preceding,700,0.14,8,156,5.81
6,these,4285,0.87,43,268,5.63
7,following,1277,0.26,11,234,5.41
8,which,13905,2.82,36,287,3.67
9,are,7496,1.52,16,294,3.39
10,other,3603,0.73,7,266,3.26
11,or,7567,1.54,9,279,2.55
12,i,10129,2.06,12,289,2.54
13,have,6253,1.27,7,283,2.46
14,that,15126,3.07,15,288,2.29
15,the,152723,31.00,100,311,1.69
16,and,41047,8.33,21,310,1.33
17,in,36831,7.48,13,311,0.80
18,of,89241,18.12,31,311,0.77
19,to,35556,7.22,10,309,0.47
20,of,89241,18.12,9,311,-1.01
