https://example.com/collocation-analysis
There are 1212983 different words in your collocation database for "facts". (Your query returned 495 matches in 245 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	relative	142	0.02	6	57	6.47
2	ascertained	199	0.02	6	61	5.98
3	these	3039	0.36	27	191	4.22
4	some	2356	0.28	11	207	3.29
5	have	4789	0.57	15	213	2.71
6	we	2620	0.31	8	174	2.67
7	other	2746	0.33	8	205	2.61
8	are	5284	0.63	12	211	2.25
9	which	11762	1.41	22	226	1.97
10	been	3539	0.42	6	208	1.83
11	i	9239	1.10	12	224	1.44
12	this	8697	1.04	11	221	1.40
13	that	13172	1.57	16	225	1.35
14	not	5760	0.69	6	210	1.12
15	to	28151	3.37	26	237	0.95
16	with	8348	1.00	7	218	0.81
17	from	9090	1.09	7	227	0.69
18	in	25981	3.11	19	239	0.61
19	of	62941	7.52	46	243	0.61
20	with	8348	1.00	6	218	0.59
21	on	8595	1.03	6	229	0.55
22	by	11841	1.42	8	233	0.50
23	to	28151	3.37	19	237	0.50
24	the	107864	12.89	72	243	0.48
25	it	13664	1.63	9	226	0.46
26	and	30091	3.60	16	241	0.15
27	be	12192	1.46	6	227	0.04
28	a	24595	2.94	10	238	-0.23
29	and	30091	3.60	11	241	-0.39
30	the	107864	12.89	39	243	-0.40
31	of	62941	7.52	22	243	-0.45
