https://example.com/collocation-analysis
There are 3046668 different words in your collocation database for "facts". (Your query returned 1156 matches in 320 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	these	8479	1.04	65	298	3.97
2	have	11651	1.42	42	311	2.88
3	been	6866	0.84	18	297	2.42
4	from	20019	2.44	33	315	1.75
5	which	26195	3.20	43	315	1.75
6	that	28370	3.46	45	312	1.70
7	are	18556	2.27	27	310	1.57
8	i	12975	1.58	17	303	1.42
9	to	63464	7.75	64	316	1.05
10	the	295673	36.10	244	319	0.76
11	be	26307	3.21	20	314	0.64
12	by	28482	3.48	21	319	0.59
13	it	23594	2.88	17	312	0.56
14	to	63464	7.75	41	316	0.40
15	with	23377	2.85	15	315	0.39
16	in	76894	9.39	48	318	0.35
17	as	24441	2.98	15	314	0.33
18	of	187103	22.85	101	319	0.14
19	is	39702	4.85	19	313	-0.03
20	the	295673	36.10	120	319	-0.27
21	and	77614	9.48	31	319	-0.29
22	and	77614	9.48	30	319	-0.34
23	of	187103	22.85	63	319	-0.54
24	a	61470	7.51	17	316	-0.82
