https://example.com/collocation-analysis
There are 1205848 different words in your collocation database for "facts". (Your query returned 397 matches in 253 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	these	3016	0.31	23	195	4.22
2	some	2382	0.24	10	213	3.36
3	have	4814	0.49	14	219	2.83
4	we	2620	0.27	7	174	2.71
5	are	5225	0.53	9	214	2.08
6	been	3573	0.36	6	214	2.04
7	which	11606	1.18	19	231	2.00
8	i	9049	0.92	12	230	1.70
9	this	8644	0.88	10	228	1.50
10	to	28352	2.89	25	245	1.11
11	that	13236	1.35	11	233	1.03
12	on	8238	0.84	6	235	0.84
13	with	8487	0.87	6	224	0.79
14	by	11764	1.20	8	239	0.74
15	of	62711	6.40	42	251	0.71
16	to	28352	2.89	17	245	0.56
17	the	109288	11.15	64	251	0.52
18	in	25884	2.64	14	248	0.41
19	be	12064	1.23	6	234	0.29
20	and	29895	3.05	14	249	0.20
21	it	13708	1.40	6	233	0.10
22	a	24058	2.45	9	245	-0.13
23	of	62711	6.40	20	251	-0.36
24	and	29895	3.05	9	249	-0.44
25	the	109288	11.15	30	251	-0.57
