No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,new,661,0.19,14,129,5.21
2,many,724,0.21,12,157,4.86
3,these,2804,0.80,41,189,4.68
4,some,2080,0.59,10,195,3.07
5,have,5266,1.50,24,205,3.00
6,other,2488,0.71,11,198,2.95
7,which,11291,3.22,40,207,2.63
8,are,4645,1.33,15,203,2.50
9,that,12293,3.51,29,208,2.05
10,i,7640,2.18,18,208,2.05
11,from,7420,2.12,14,211,1.72
12,as,7979,2.28,11,210,1.27
13,the,93504,26.68,120,225,1.17
14,by,11335,3.23,14,222,1.11
15,to,23826,6.80,26,219,0.93
16,it,12017,3.43,13,213,0.92
17,in,23934,6.83,25,223,0.87
18,of,63360,18.08,62,226,0.78
19,by,11335,3.23,11,222,0.77
20,and,27093,7.73,23,223,0.57
21,to,23826,6.80,11,219,-0.31
22,the,93504,26.68,26,225,-1.04
23,of,63360,18.08,10,226,-1.85
