No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5144,1.15,53,205,4.52
2,i,8405,1.89,29,208,2.94
3,which,14873,3.34,46,216,2.78
4,have,6393,1.44,16,211,2.48
5,are,8690,1.95,19,216,2.28
6,from,11924,2.68,20,214,1.90
7,as,13108,2.94,15,220,1.35
8,in,41523,9.32,43,223,1.21
9,the,158779,35.64,156,223,1.13
10,of,94965,21.32,80,223,0.91
11,and,39810,8.94,27,223,0.60
12,to,33656,7.55,18,222,0.25
13,of,94965,21.32,28,223,-0.61
14,the,158779,35.64,28,223,-1.35
