No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,6134,1.21,62,223,4.69
2,which,18082,3.55,54,234,2.93
3,i,9740,1.91,29,225,2.92
4,are,10881,2.14,22,233,2.36
5,from,14029,2.76,22,233,2.00
6,by,20685,4.06,19,238,1.23
7,the,196957,38.69,176,240,1.19
8,of,116509,22.89,84,240,0.88
9,in,50769,9.97,31,240,0.64
10,and,50072,9.84,29,240,0.56
11,to,41707,8.19,21,238,0.36
12,of,116509,22.89,33,240,-0.47
13,the,196957,38.69,36,240,-1.10
