No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1392,0.62,41,139,5.06
2,that,31538,13.96,751,219,4.75
3,in,79960,35.40,387,222,2.45
4,they,5302,2.35,25,214,2.41
5,by,28148,12.46,126,222,2.34
6,this,20850,9.23,87,220,2.24
7,from,19883,8.80,63,220,1.84
8,it,25333,11.22,75,219,1.74
9,we,12503,5.54,36,202,1.70
10,the,333462,147.64,836,222,1.50
11,to,67046,29.68,167,221,1.49
12,is,52855,23.40,88,221,0.91
13,the,333462,147.64,458,222,0.63
14,is,52855,23.40,66,221,0.50
15,in,79960,35.40,99,222,0.48
16,as,28307,12.53,33,220,0.40
17,which,24053,10.65,27,220,0.34
18,with,24227,10.73,25,219,0.22
19,a,72678,32.18,55,221,-0.23
20,a,72678,32.18,54,221,-0.25
21,of,182658,80.87,127,223,-0.35
22,and,82270,36.43,54,223,-0.43
23,to,67046,29.68,37,221,-0.68
24,of,182658,80.87,66,223,-1.29
