No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,392,0.20,29,115,6.20
2,that,25562,12.82,830,171,5.02
3,in,73844,37.04,433,171,2.55
4,they,4616,2.32,24,167,2.37
5,there,5315,2.67,26,169,2.29
6,by,23038,11.56,103,171,2.16
7,this,16888,8.47,70,171,2.05
8,from,18066,9.06,67,171,1.89
9,it,19404,9.73,63,171,1.69
10,the,277406,139.16,826,171,1.57
11,we,9458,4.74,25,163,1.40
12,to,53346,26.76,139,171,1.38
13,which,18660,9.36,39,171,1.06
14,is,47568,23.86,92,171,0.95
15,for,16854,8.45,29,171,0.78
16,the,277406,139.16,462,171,0.73
17,with,18713,9.39,26,171,0.47
18,in,73844,37.04,95,171,0.36
19,is,47568,23.86,60,171,0.33
20,be,20414,10.24,24,171,0.23
21,and,72148,36.19,71,171,-0.03
22,are,21574,10.82,21,171,-0.04
23,a,62762,31.48,56,171,-0.17
24,of,151858,76.18,131,171,-0.22
25,a,62762,31.48,48,171,-0.39
26,to,53346,26.76,29,171,-0.88
27,of,151858,76.18,40,171,-1.93
