No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,569,0.31,40,130,6.02
2,that,30324,16.41,994,222,4.92
3,they,5181,2.80,37,217,2.72
4,this,19056,10.31,107,222,2.38
5,by,26301,14.23,135,222,2.25
6,there,5716,3.09,29,221,2.23
7,in,83731,45.31,414,224,2.19
8,from,19573,10.59,80,224,1.92
9,the,299671,162.15,1032,223,1.67
10,it,21501,11.63,71,221,1.61
11,to,62120,33.61,205,224,1.61
12,which,21553,11.66,55,222,1.24
13,we,11038,5.97,26,214,1.12
14,the,299671,162.15,578,223,0.83
15,with,21937,11.87,41,223,0.79
16,is,48055,26.00,82,223,0.66
17,this,19056,10.31,30,222,0.54
18,for,20867,11.29,30,223,0.41
19,at,20641,11.17,29,222,0.38
20,is,48055,26.00,63,223,0.28
21,in,83731,45.31,104,224,0.20
22,a,72688,39.33,75,224,-0.07
23,as,24882,13.46,25,222,-0.11
24,a,72688,39.33,63,224,-0.32
25,of,166284,89.98,136,224,-0.40
26,and,74841,40.50,61,224,-0.41
27,to,62120,33.61,28,224,-1.26
28,of,166284,89.98,34,224,-2.40
