No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,474,0.26,37,104,6.13
2,that,22344,12.44,726,150,4.87
3,they,3941,2.19,29,148,2.72
4,in,63154,35.16,417,150,2.57
5,there,4644,2.59,26,148,2.33
6,this,14982,8.34,83,150,2.31
7,all,3643,2.03,19,149,2.23
8,by,19865,11.06,95,150,2.10
9,it,17389,9.68,68,150,1.81
10,from,15498,8.63,58,150,1.75
11,the,236162,131.46,735,150,1.48
12,to,46382,25.82,144,150,1.48
13,we,7947,4.42,21,143,1.25
14,which,16062,8.94,35,149,0.97
15,is,41966,23.36,88,150,0.91
16,the,236162,131.46,465,150,0.82
17,for,15132,8.42,28,149,0.73
18,this,14982,8.34,25,150,0.58
19,is,41966,23.36,61,150,0.38
20,with,16191,9.01,23,149,0.35
21,are,17724,9.87,24,149,0.28
22,in,63154,35.16,83,150,0.24
23,a,54372,30.27,70,150,0.21
24,as,19055,10.61,22,150,0.05
25,for,15132,8.42,17,149,0.01
26,and,58927,32.80,64,150,-0.04
27,be,18384,10.23,18,150,-0.19
28,of,126883,70.63,102,150,-0.47
29,a,54372,30.27,40,150,-0.60
30,to,46382,25.82,32,150,-0.69
31,of,126883,70.63,37,150,-1.93
